,Tactual,Tmeas,Tact_err,Tmeas_err
0,3472,3628.7777447,110,163.067714773
1,4507,4797.06833673,58,100.0
2,4723,4473.8277637,89,100.0
3,3570,3714.06179009,160,100.0
4,3814,3961.30514596,113,141.748066101
5,6030,6232.29200343,14,133.537384596
6,5646,5956.93385385,45,145.683078086
7,5869,5944.61554042,14,138.057015834
8,5633,5769.28476794,15,110.27331098
9,6582,6605.52462037,16,105.665802034
10,5402,5480.0718168,28,100.0
11,6215,6356.820885,44,122.379733992
12,5558,5684.60838711,19,142.730650283
13,4903,5009.27187704,44,100.0
14,5232,5803.1510184,8,119.844488778
15,4124,4400.5478036,60,100.0
16,3416,3822.50019203,40,100.0
