,Tactual,Tmeas,Tact_err,Tmeas_err
0,3668,4211.99171446,54,264.958709301
1,3776,4180.83670973,145,193.702720275
2,3828,4220.21464473,168,163.154956131
3,3520,3988.92393471,100,267.414088287
4,4580,4674.23595702,7,142.923884043
5,3413,3708.30396559,28,188.125794955
6,3222,3400.10191504,10,245.53886238
7,3464,3644.29049487,15,165.669053731
8,5135,5211.19076973,44,100.0
9,5756,6083.18850321,44,272.496491202
10,6344,6511.7670385,44,187.344053729
11,5699,6078.49795912,80,288.673310547
12,5046,5285.19576362,86,126.095163051
13,5697,5728.56246983,44,108.31934529
14,6398,6625.30441495,80,186.175556008
15,5635,5637.04695014,55,124.413053714
16,4825,4848.25240435,8,128.0800838
17,6110,6361.72907227,76,233.645629806
18,4525,4571.93118859,47,181.375456627
19,5235,5339.36423945,44,149.755340168
