,Tactual,Tmeas,Tact_err,Tmeas_err
0,5558,5477.34975548,19,100.0
1,4361,4322.50780172,17,136.899805377
2,3932,4219.88083275,25,100.0
3,4450,4110.53724415,100,118.595723998
4,5453,5467.32604076,44,100.0
5,4507,4577.73969455,58,149.18005337
6,4698,4717.39507616,91,287.044594924
7,3567,3674.2601316,11,100.0
8,3618,3774.98521502,31,141.382818402
9,4580,4505.19866828,7,106.105396222
10,6093,5897.36472218,44,299.557851874
11,5029,5117.64500005,52,100.0
12,5973,5822.52059715,8,255.783661173
13,5242,5432.40012558,12,111.679882917
14,5837,5734.95916628,44,188.87391523
15,6597,6295.72390661,18,656.124285901
16,5344,5354.93884262,44,100.0
17,5818,5619.97625444,44,181.394423137
18,6401,6683.98054539,80,100.0
19,6586,6611.69067801,80,168.433764852
20,6543,6695.99871298,80,108.924144563
21,5882,5809.21522096,44,239.100253951
22,3464,3649.85253009,15,113.300531665
23,3646,3582.1106433,60,100.0
