,Tactual,Tmeas,Tact_err,Tmeas_err
0,5750,6117.08718709,57,100.0
1,5678,6085.0527025,66,100.0
2,3932,4117.48556101,25,121.525168817
3,5558,5986.90268386,19,100.0
4,5407,5539.25022892,52,100.0
5,5406,6093.43828791,64,100.0
6,5077,5217.50748882,35,100.0
7,5973,6380.42450865,8,100.0
8,4085,4306.77299995,14,107.347380266
9,3464,3664.35048111,15,106.044294373
10,4638,4795.69669631,72,100.0
11,3916,3967.68502731,61,100.0
12,6222,6688.69229221,13,100.0
13,6212,6578.28875288,44,100.0
14,6528,6649.27522296,75,100.0
15,6912,6750.42301082,80,100.0
16,5788,6093.39334689,23,100.0
17,6414,6597.17362881,19,100.0
18,5290,5802.10810661,39,100.0
